n,median_s,mean_s,sd_s,min_s,max_s,iqr_s,p95_s,p99_s,cv_s,n_reps,fn_name,stage
1000,0.00312680000001819,0.00486196666669988,0.00479385884056599,0.00117730000005167,0.0102818000000298,0.00455224999998904,0.0095663000000286,0.0101387000000295,0.985991712653983,3,reshape_to_long,1-import
5000,0.00380240000004051,0.00427290000002737,0.00103521273660374,0.00355650000000196,0.00545980000003965,0.000951650000018844,0.00529406000003974,0.00542665200003967,0.242274037912683,3,reshape_to_long,1-import
10000,0.00690520000000561,0.00686713333332515,0.000468361658724615,0.00638089999995373,0.00731530000001612,0.000467200000031198,0.00727429000001507,0.00730709800001591,0.068203373371495,3,reshape_to_long,1-import
1000,0.043366600000013,0.0537324000000391,0.0205425892360343,0.0404380000000515,0.0773926000000529,0.0184773000000007,0.0739900000000489,0.0767120800000521,0.382312891961262,3,discover_excel_files,1-import
5000,0.0434287000000495,0.0438200000000393,0.000841957439526205,0.0432449000000474,0.0447864000000209,0.00077074999998672,0.0446506300000237,0.0447592460000214,0.0192139990763453,3,discover_excel_files,1-import
10000,0.0581309000000374,0.0572262000000402,0.00186473408020788,0.0550817000000734,0.0584660000000099,0.00169214999996825,0.0584324900000127,0.0584592980000105,0.0325853207133544,3,discover_excel_files,1-import
1000,16.2002507,16.2444695666667,0.224787642520326,16.0450773000001,16.4880807,0.221501699999976,16.4592977,16.4823241,0.0138377951707075,3,read_excel_file_sheets,1-import
5000,16.4677322000001,16.6742956666667,0.399949384841103,16.419865,17.1352898,0.357712400000025,17.06853404,17.121938648,0.0239859837462661,3,read_excel_file_sheets,1-import
10000,16.2508912,16.1640493333334,0.25225290088175,15.8798476,16.3614092,0.24078080000001,16.3503574,16.35919884,0.015605798750042,3,read_excel_file_sheets,1-import
